video_id,video_url,entry_title,live_status,duration_seconds,view_count,saved_json_path,fetched_at
z57_1zXDqOQ,https://www.youtube.com/watch?v=z57_1zXDqOQ,[85/365] CAN CLAUDE RUN MY PRIVATE EQUITY FUND?,was_live,8081.0,659,data\raw\youtube\kenny-finance-streams\videos\z57_1zXDqOQ.json,2026-05-06T02:38:06.455001+00:00
zty5uTYD3kU,https://www.youtube.com/watch?v=zty5uTYD3kU,[85/365] CAN CLAUDE RUN MY PRIVATE EQUITY FUND?,was_live,206.0,142,data\raw\youtube\kenny-finance-streams\videos\zty5uTYD3kU.json,2026-05-06T02:38:06.455001+00:00
oAsvwKhrGo8,https://www.youtube.com/watch?v=oAsvwKhrGo8,"[84/365] WHAT IS HAPPENING WITH VCX (+1,500%+ above NAV)",was_live,7211.0,276,data\raw\youtube\kenny-finance-streams\videos\oAsvwKhrGo8.json,2026-05-06T02:38:06.455001+00:00
uujShWMy208,https://www.youtube.com/watch?v=uujShWMy208,[83/365] STOCKS MOST IMPACTED BY AI,was_live,8660.0,227,data\raw\youtube\kenny-finance-streams\videos\uujShWMy208.json,2026-05-06T02:38:06.455001+00:00
Bvm-wKmUFfo,https://www.youtube.com/watch?v=Bvm-wKmUFfo,[82/365] VIBE CODING FOR SMALL BUSINESSES,was_live,6789.0,297,data\raw\youtube\kenny-finance-streams\videos\Bvm-wKmUFfo.json,2026-05-06T02:38:06.455001+00:00
ot__5tKh9us,https://www.youtube.com/watch?v=ot__5tKh9us,"[81/365] SOURCING, STOCKS & MIAMI RECAP",was_live,6529.0,277,data\raw\youtube\kenny-finance-streams\videos\ot__5tKh9us.json,2026-05-06T02:38:06.455001+00:00
kEBNBJtUxzY,https://www.youtube.com/watch?v=kEBNBJtUxzY,[80/365] DAY 5 in MIAMI. HUNTING FOR DEALS AND REAL ESTATE,was_live,1312.0,133,data\raw\youtube\kenny-finance-streams\videos\kEBNBJtUxzY.json,2026-05-06T02:38:06.455001+00:00
YIOxvcFSN0o,https://www.youtube.com/watch?v=YIOxvcFSN0o,[79/365] DAY 4 in MIAMI. HUNTING FOR DEALS AND REAL ESTATE,was_live,5385.0,175,data\raw\youtube\kenny-finance-streams\videos\YIOxvcFSN0o.json,2026-05-06T02:38:06.455001+00:00
EiH0dBpSVQ4,https://www.youtube.com/watch?v=EiH0dBpSVQ4,[78/365] DAY 3 in MIAMI. HUNTING FOR DEALS AND REAL ESTATE,was_live,4116.0,183,data\raw\youtube\kenny-finance-streams\videos\EiH0dBpSVQ4.json,2026-05-06T02:38:06.455001+00:00
MHSMMQ_CNLc,https://www.youtube.com/watch?v=MHSMMQ_CNLc,[77/365] DAY 2 in MIAMI. HUNTING FOR DEALS AND REAL ESTATE,was_live,6629.0,198,data\raw\youtube\kenny-finance-streams\videos\MHSMMQ_CNLc.json,2026-05-06T02:38:06.455001+00:00
y8wdKqVFg-Q,https://www.youtube.com/watch?v=y8wdKqVFg-Q,[76/365] DAY 1 in MIAMI. HUNTING FOR DEALS AND REAL ESTATE,was_live,4232.0,299,data\raw\youtube\kenny-finance-streams\videos\y8wdKqVFg-Q.json,2026-05-06T02:38:06.455001+00:00
cZkW6IEw5kQ,https://www.youtube.com/watch?v=cZkW6IEw5kQ,[75/365] NVIDIA GTC 2026 AND FINISHING MY VIBE CODING PROJECT!,was_live,4602.0,216,data\raw\youtube\kenny-finance-streams\videos\cZkW6IEw5kQ.json,2026-05-06T02:38:06.455001+00:00
i_wXBBXmfsk,https://www.youtube.com/watch?v=i_wXBBXmfsk,[74/365] VIBE CODING A BILLION DOLLAR BUSINESS,was_live,19281.0,628,data\raw\youtube\kenny-finance-streams\videos\i_wXBBXmfsk.json,2026-05-06T02:38:06.455001+00:00
3bkXiBs2b-Y,https://www.youtube.com/watch?v=3bkXiBs2b-Y,[73/365] SOURCING ACQUISITIONS ON A SATURDAY,was_live,6090.0,326,data\raw\youtube\kenny-finance-streams\videos\3bkXiBs2b-Y.json,2026-05-06T02:38:06.455001+00:00
mqAdqDZ0h54,https://www.youtube.com/watch?v=mqAdqDZ0h54,"[72/365] FINANCE FRIDAYS! STOCKS, SOURCING and SMART MONEY MOVES",was_live,8223.0,200,data\raw\youtube\kenny-finance-streams\videos\mqAdqDZ0h54.json,2026-05-06T02:38:06.455001+00:00
ozGQDtsnPr0,https://www.youtube.com/watch?v=ozGQDtsnPr0,[71/365] SOURCING ENERGY INVESTMENTS,was_live,7367.0,316,data\raw\youtube\kenny-finance-streams\videos\ozGQDtsnPr0.json,2026-05-06T02:38:06.455001+00:00
4ySQ_weCsQo,https://www.youtube.com/watch?v=4ySQ_weCsQo,[70/365] BUDGETING ON WEALTHY WEDNESDAYS,was_live,8590.0,238,data\raw\youtube\kenny-finance-streams\videos\4ySQ_weCsQo.json,2026-05-06T02:38:06.455001+00:00
MBd_beSdPGs,https://www.youtube.com/watch?v=MBd_beSdPGs,[69/365] SMALL CAP STOCKS & SOURCING ON A TUESDAY,was_live,7955.0,597,data\raw\youtube\kenny-finance-streams\videos\MBd_beSdPGs.json,2026-05-06T02:38:06.455001+00:00
8OgNOXPd668,https://www.youtube.com/watch?v=8OgNOXPd668,[68/365] MARKET MONDAYS WITH CHAT CAPITAL,was_live,6017.0,258,data\raw\youtube\kenny-finance-streams\videos\8OgNOXPd668.json,2026-05-06T02:38:06.455001+00:00
n5sdjTYZ210,https://www.youtube.com/watch?v=n5sdjTYZ210,[67/365] THE OIL CRISIS OF 1973 (AND LESSONS FOR 2026),was_live,7502.0,215,data\raw\youtube\kenny-finance-streams\videos\n5sdjTYZ210.json,2026-05-06T02:38:06.455001+00:00
kDjvq-jqcOc,https://www.youtube.com/watch?v=kDjvq-jqcOc,[66/365] SOURCING YOU A BUSINESS ON A SATURDAY,was_live,5730.0,407,data\raw\youtube\kenny-finance-streams\videos\kDjvq-jqcOc.json,2026-05-06T02:38:06.455001+00:00
HTMqbkKqj5Q,https://www.youtube.com/watch?v=HTMqbkKqj5Q,[65/365] CHAT CAPITAL MARCH MADNESS KICKOFF!,was_live,7982.0,264,data\raw\youtube\kenny-finance-streams\videos\HTMqbkKqj5Q.json,2026-05-06T02:38:06.455001+00:00
BXpEooo3E-M,https://www.youtube.com/watch?v=BXpEooo3E-M,[64/365] VIBE CODING THURSDAYS,was_live,7827.0,169,data\raw\youtube\kenny-finance-streams\videos\BXpEooo3E-M.json,2026-05-06T02:38:06.455001+00:00
VbW3s5s5NpU,https://www.youtube.com/watch?v=VbW3s5s5NpU,[63/365] BUYING EMPTY CASTLES IN JAPAN,was_live,5721.0,345,data\raw\youtube\kenny-finance-streams\videos\VbW3s5s5NpU.json,2026-05-06T02:38:06.455001+00:00
j9msVnWNgJQ,https://www.youtube.com/watch?v=j9msVnWNgJQ,[62/365] DUMPSTER DIVING IN THE SELLOFF,was_live,6114.0,308,data\raw\youtube\kenny-finance-streams\videos\j9msVnWNgJQ.json,2026-05-06T02:38:06.455001+00:00
54FZed5Q2hk,https://www.youtube.com/watch?v=54FZed5Q2hk,[61/365] AI VALUE CHAIN DEEP DIVE - OPTICS & PHOTONICS,was_live,8651.0,316,data\raw\youtube\kenny-finance-streams\videos\54FZed5Q2hk.json,2026-05-06T02:38:06.455001+00:00
h7y8H3pqY3g,https://www.youtube.com/watch?v=h7y8H3pqY3g,[60/365] SMALL CAP STOCK SUNDAYS!,was_live,10317.0,242,data\raw\youtube\kenny-finance-streams\videos\h7y8H3pqY3g.json,2026-05-06T02:38:06.455001+00:00
Uu6nSYuh-Cs,https://www.youtube.com/watch?v=Uu6nSYuh-Cs,[59/365] SCALING SMALL BUSINESS SATURDAYS (AI EDITION),was_live,12579.0,292,data\raw\youtube\kenny-finance-streams\videos\Uu6nSYuh-Cs.json,2026-05-06T02:38:06.455001+00:00
FhzHSKQ5DTs,https://www.youtube.com/watch?v=FhzHSKQ5DTs,[58/365] STOCK PITCH COMPETITION!,was_live,5329.0,171,data\raw\youtube\kenny-finance-streams\videos\FhzHSKQ5DTs.json,2026-05-06T02:38:06.455001+00:00
QPQJKaKPcnM,https://www.youtube.com/watch?v=QPQJKaKPcnM,[57/365] SOURCING AFFORDABLE BUSINESSES TO BUY,was_live,9067.0,435,data\raw\youtube\kenny-finance-streams\videos\QPQJKaKPcnM.json,2026-05-06T02:38:06.455001+00:00
z_G2QhBgib8,https://www.youtube.com/watch?v=z_G2QhBgib8,[56/365] UNPACKING NVIDIA EARNINGS,was_live,6573.0,365,data\raw\youtube\kenny-finance-streams\videos\z_G2QhBgib8.json,2026-05-06T02:38:06.455001+00:00
